Reactions that produce compound from New SmartTable with CO2	Matches	EC-Number	METANETX	Spontaneous?	In-Pathway	Object ID	Data-Source	Regulated-By	Requirements
RXN1F-93	CARBON-DIOXIDE	EC-1.14.20.6	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107965</a>		PWY-3101	RXN1F-93			
RXN-8450	CARBON-DIOXIDE	EC-1.14.20.6	<a href='https://www.metanetx.org/equa_info/~A'>MNXR140837</a>		PWY-3101 // PWY-5391	RXN-8450			
RXN-527	CARBON-DIOXIDE	EC-1.14.20.6	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107338</a>		PWY-3101 // PWY-5390	RXN-527			
RXN-15821	CARBON-DIOXIDE	EC-4.1.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119650</a>		PWY-7557	RXN-15821			
RXN-16344	CARBON-DIOXIDE	EC-1.14.20.8	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114508</a>		PWY-7749 // PWY-5479	RXN-16344			
R214-RXN	CARBON-DIOXIDE	EC-1.1.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR111781</a>		P241-PWY	R214-RXN			
R218-RXN	CARBON-DIOXIDE	EC-1.1.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR116195</a>		P241-PWY	R218-RXN			
RXN-21743	CARBON-DIOXIDE	EC-1.14.11			PWY-8179	RXN-21743			
RXN-13288	CARBON-DIOXIDE	EC-1.14.14	<a href='https://www.metanetx.org/equa_info/~A'>MNXR117997</a>		PWY-7035	RXN-13288			
RXN-17695	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR114864</a>	T	PWY-5770	RXN-17695			
RXN-7970	CARBON-DIOXIDE	EC-1.1.1.87 // EC-1.1.1.286	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107239</a>		LYSINE-AMINOAD-PWY // PWY-3081	RXN-7970			
RXN-17689	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR114862</a>	T	PWY-5770	RXN-17689			
1.3.1.53-RXN	CARBON-DIOXIDE	EC-1.3.1.53	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107100</a>		PWY-7795	1.3.1.53-RXN			
RXN-21178	CARBON-DIOXIDE	EC-1.14.19			PWY-6682	RXN-21178			
RXN-17707	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR121103</a>		PWY-6660 // RXN-17711	RXN-17707			
RXN-17706	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR140680</a>	T		RXN-17706			
RXN-15311	CARBON-DIOXIDE	EC-1.14.11.46	<a href='https://www.metanetx.org/equa_info/~A'>MNXR114042</a>		PWY-7447	RXN-15311			
4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.44	<a href='https://www.metanetx.org/equa_info/~A'>MNXR115592</a>		PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN			
RXN-22204	CARBON-DIOXIDE	EC-1.1.1.418			PWY-8238	RXN-22204			
RXN-11938	CARBON-DIOXIDE	EC-1.1.1.418	<a href='https://www.metanetx.org/equa_info/~A'>MNXR117240</a>		PWY-2541	RXN-11938			
RXN-20495	CARBON-DIOXIDE				PWY-8049	RXN-20495			
RXN-20453	CARBON-DIOXIDE	EC-2.3.1			PWY-8045	RXN-20453			
RXN-9869	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR123041</a>		PWY-6107	RXN-9869			
RXN-9755	CARBON-DIOXIDE	EC-1.17.99	<a href='https://www.metanetx.org/equa_info/~A'>MNXR122976</a>		PWY-6053	RXN-9755			
RXN-14981	CARBON-DIOXIDE	EC-1.14.20.6	<a href='https://www.metanetx.org/equa_info/~A'>MNXR119049</a>			RXN-14981			
RXN-13158	CARBON-DIOXIDE	EC-1.1.1.85	<a href='https://www.metanetx.org/equa_info/~A'>MNXR113436</a>			RXN-13158			
RXN-7745	CARBON-DIOXIDE	EC-1.1.1	<a href='https://www.metanetx.org/equa_info/~A'>MNXR106779</a>		PWY-5101	RXN-7745			
RXN-602	CARBON-DIOXIDE	EC-1.14.20.4	<a href='https://www.metanetx.org/equa_info/~A'>MNXR140784</a>			RXN-602			
RXN-7785	CARBON-DIOXIDE	EC-1.14.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR109285</a>		PWY-5153	RXN-7785			
LEUCPEL-RXN	CARBON-DIOXIDE	EC-1.14.20.4	<a href='https://www.metanetx.org/equa_info/~A'>MNXR108780</a>		PWY-7267	LEUCPEL-RXN			
RXN-16827	CARBON-DIOXIDE	EC-1.14.20	<a href='https://www.metanetx.org/equa_info/~A'>MNXR120414</a>		PWY-7687	RXN-16827			
RXN-21302	CARBON-DIOXIDE					RXN-21302			
RXN-7800	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR102180</a>	T	LEUSYN-PWY // PWY-6871 // RXN-13158	RXN-7800			
RXN-18439	CARBON-DIOXIDE	EC-2.3.1.156			PWY-7857	RXN-18439			
RXN-21612	CARBON-DIOXIDE	EC-2.3.1.300			PWY-8173	RXN-21612			
RXN-19265	CARBON-DIOXIDE	EC-1.14.20.12			PWY-7956	RXN-19265			
RXN-19268	CARBON-DIOXIDE	EC-1.14.20.11			PWY-7957	RXN-19268			
RXN-19262	CARBON-DIOXIDE	EC-1.14.20.9			PWY-7955	RXN-19262			
RXN-19266	CARBON-DIOXIDE	EC-1.14.20.10			PWY-7960	RXN-19266			
RXN-7922	CARBON-DIOXIDE	EC-1.14.11.9	<a href='https://www.metanetx.org/equa_info/~A'>MNXR143547</a>		PWY-5152	RXN-7922			
RXN-7775	CARBON-DIOXIDE	EC-1.14.11.9	<a href='https://www.metanetx.org/equa_info/~A'>MNXR108319</a>		PWY1F-823	RXN-7775			
RXN-7687	CARBON-DIOXIDE	EC-1.14.20.5	<a href='https://www.metanetx.org/equa_info/~A'>MNXR108277</a>		PWY-5060	RXN-7687			
RXN-13029	CARBON-DIOXIDE	EC-4.1.1.94	<a href='https://www.metanetx.org/equa_info/~A'>MNXR113354</a>			RXN-13029			
RXN-8957	CARBON-DIOXIDE	EC-1.3.1.85	<a href='https://www.metanetx.org/equa_info/~A'>MNXR112723</a>		PWY-7854 // PWY-5741	RXN-8957			
NARINGENIN-3-DIOXYGENASE-RXN	CARBON-DIOXIDE	EC-1.14.11.9	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107509</a>		PWY1F-FLAVSYN // PWY-6787	NARINGENIN-3-DIOXYGENASE-RXN			
RXN-7686	CARBON-DIOXIDE	EC-1.14.20.5	<a href='https://www.metanetx.org/equa_info/~A'>MNXR107510</a>		PWY-2083 // PWY-5060	RXN-7686			
RXN-7648	CARBON-DIOXIDE	EC-1.14.11.9	<a href='https://www.metanetx.org/equa_info/~A'>MNXR111576</a>		PWY-5059	RXN-7648			
RXN-8379	CARBON-DIOXIDE	EC-1.14.20.5	<a href='https://www.metanetx.org/equa_info/~A'>MNXR139592</a>		PWY-5363	RXN-8379			
RXN-17152	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR120695</a>	T	PWY-7734	RXN-17152			
RXN-10883	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR116565</a>	T	PWY-7006 // PWY-6336	RXN-10883			
RXN-20409	CARBON-DIOXIDE	EC-4.1.1.83				RXN-20409			
RXN-21830	CARBON-DIOXIDE	EC-1.1.1.418			PWY-8239	RXN-21830			
RXN-20434	CARBON-DIOXIDE	EC-1.1.1.418			PWY18C3-1	RXN-20434			
RXN-10246	CARBON-DIOXIDE	EC-4.1.1.77	<a href='https://www.metanetx.org/equa_info/~A'>MNXR140168</a>		PWY-5645	RXN-10246			
4.1.1.77-RXN	CARBON-DIOXIDE	EC-4.1.1.77	<a href='https://www.metanetx.org/equa_info/~A'>MNXR139995</a>		PWY-7009 // PWY-7480 // PWY-5654 // PWY-6210 // PWY-5647 // PWY-6214 // PWY-7006 // PWY-5419 // 2ASDEG-PWY // PWY-6336	4.1.1.77-RXN			
4.1.1.68-RXN	CARBON-DIOXIDE	EC-4.1.1.68	<a href='https://www.metanetx.org/equa_info/~A'>MNXR143760</a>		3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4.1.1.68-RXN			
CARBOXY-OXOHEPT-ENEDIOATE-DECARBOXY-RXN	CARBON-DIOXIDE		<a href='https://www.metanetx.org/equa_info/~A'>MNXR115744</a>		4.1.1.68-RXN	CARBOXY-OXOHEPT-ENEDIOATE-DECARBOXY-RXN			
HYDROXYGLUTAMATE-DECARBOXYLASE-RXN	CARBON-DIOXIDE	EC-4.1.1.16	<a href='https://www.metanetx.org/equa_info/~A'>MNXR108680</a>			HYDROXYGLUTAMATE-DECARBOXYLASE-RXN			
RXN-21813	CARBON-DIOXIDE				TRYPTOPHAN-2-DIOXYGENASE-RXN	RXN-21813			
RXN-19503	CARBON-DIOXIDE	EC-1.2.7.7			PWY-8184	RXN-19503			
METHYLVALERATE-RXN	CARBON-DIOXIDE	EC-1.2.4.4	<a href='https://www.metanetx.org/equa_info/~A'>MNXR116060</a>		2KETO-3METHYLVALERATE-RXN	METHYLVALERATE-RXN			
2KETO-3METHYLVALERATE-RXN	CARBON-DIOXIDE	EC-1.2.1.25	<a href='https://www.metanetx.org/equa_info/~A'>MNXR102174</a>		PWY-8173 // ILEUDEG-PWY	2KETO-3METHYLVALERATE-RXN			
4.1.1.72-RXN	CARBON-DIOXIDE	EC-4.1.1.72	<a href='https://www.metanetx.org/equa_info/~A'>MNXR94925</a>		PWY-5078	4.1.1.72-RXN			
RXN-8949	CARBON-DIOXIDE	EC-1.14.20.3	<a href='https://www.metanetx.org/equa_info/~A'>MNXR113757</a>		PWY-5737	RXN-8949			
RXN-14671	CARBON-DIOXIDE	EC-1.13.11.83	<a href='https://www.metanetx.org/equa_info/~A'>MNXR110510</a>		PWY-7303	RXN-14671			
4.1.1.83-RXN	CARBON-DIOXIDE	EC-4.1.1.83	<a href='https://www.metanetx.org/equa_info/~A'>MNXR139522</a>		PWY-7514	4.1.1.83-RXN			
RXN-20485	CARBON-DIOXIDE	EC-2.3.1			PWY-8049	RXN-20485			
RXN-21575	CARBON-DIOXIDE	EC-4.1.1			PWY-5956	RXN-21575			
