	EC1	EC2	EC3	EC4	EC5	EC6	EC7
0	ascorbate (22)	dithiothreitol (4)	EDTA (2)	dithiothreitol (7)			
1	catalase (11)	EDTA (4)	Ni2+ (2)	ATP (6)			
2	ATP (8)	2-mercaptoethanol (3)	glycerol (1)	pyruvate (5)			
3	DTT (7)	DTT (2)	PEG (1)	EDTA (5)			
4	dithiothreitol (7)	cysteine (2)	Triton X-100 (1)	2-mercaptoethanol (5)			
5	ADP (6)	1-methoxy-5-methylphenazinium methyl sulfate (1)	n-octylglucoside (1)	spermidine (3)			
6	2-mercaptoethanol (5)	pyruvate (1)	SDS (1)	pyridoxal 5'-phosphate (3)			
7	Triton X-100 (5)	acetate (1)	N-Carbamoyl-beta-alanine (1)	phosphate (3)			
8	bovine serum albumin (5)	NH4+ (1)	Zn2+ (1)	NaCl (2)			
9	CoA (4)	ethanol (1)	Fe2+ (1)	CO2 (2)			
