	EC1	EC2	EC3	EC4	EC5	EC6	EC7
0	Cu2+ (24)	EDTA (5)	Cu2+ (7)	Zn2+ (15)			
1	Zn2+ (23)	iodoacetamide (5)	Zn2+ (7)	EDTA (15)			
2	EDTA (22)	cerulenin (5)	Hg2+ (6)	Cu2+ (15)			
3	Co2+ (19)	PCMB (4)	iodoacetamide (5)	Hg2+ (14)			
4	Ni2+ (18)	N-ethylmaleimide (4)	N-ethylmaleimide (5)	p-hydroxymercuribenzoate (14)			
5	N-ethylmaleimide (18)	p-chloromercuribenzoate (4)	EDTA (5)	NEM (13)			
6	p-chloromercuribenzoate (13)	thiolactomycin (4)	Fe2+ (5)	iodoacetamide (12)			
7	Cd2+ (13)	NEM (3)	Ni2+ (4)	Mn2+ (11)			
8	Mn2+ (13)	ATP (3)	NEM (4)	5,5'-dithiobis(2-nitrobenzoate) (11)			
9	Hg2+ (12)	Mg2+ (3)	Cd2+ (4)	NaCl (9)			
